limitingDepth,numDetections,oneSigma
21.0,0.28,0.06
21.1,0.33,0.07
21.2,0.39,0.08
21.3,0.46,0.09
21.4,0.54,0.10
21.5,0.63,0.11
21.6,0.73,0.13
21.7,0.85,0.15
21.8,0.99,0.17
21.9,1.15,0.20
22.0,1.33,0.22
22.1,1.54,0.25
22.2,1.77,0.28
22.3,2.03,0.31
22.4,2.33,0.33
22.5,2.66,0.36
22.6,3.03,0.38
22.7,3.45,0.40
22.8,3.92,0.42
22.9,4.45,0.43
23.0,5.03,0.45
23.1,5.68,0.46
23.2,6.41,0.47
23.3,7.22,0.50
23.4,8.11,0.56
23.5,9.10,0.65
23.6,10.20,0.80
23.7,11.42,1.01
23.8,12.77,1.30
23.9,14.26,1.66
24.0,15.90,2.12
24.1,17.72,2.68
24.2,19.73,3.37
24.3,21.95,4.20
