limitingDepth,numDetections,oneSigma
21.0,3.81,0.69
21.1,4.42,0.79
21.2,5.11,0.90
21.3,5.90,1.01
21.4,6.79,1.12
21.5,7.80,1.24
21.6,8.93,1.35
21.7,10.20,1.45
21.8,11.63,1.55
21.9,13.23,1.63
22.0,15.02,1.70
22.1,17.02,1.76
22.2,19.24,1.81
22.3,21.71,1.87
22.4,24.46,1.94
22.5,27.50,2.08
22.6,30.88,2.33
22.7,34.62,2.73
22.8,38.75,3.35
22.9,43.32,4.20
23.0,48.36,5.34
23.1,53.94,6.80
23.2,60.09,8.62
23.3,66.87,10.86
23.4,74.36,13.58
23.5,82.63,16.86
23.6,91.75,20.80
23.7,101.82,25.50
23.8,112.94,31.09
23.9,125.22,37.73
24.0,138.81,45.57
24.1,153.83,54.83
24.2,170.47,65.74
24.3,188.90,78.55
24.4,209.33,93.59
24.5,232.02,111.19
24.6,257.22,131.78
24.7,285.24,155.82
24.8,316.44,183.84
24.9,351.20,216.48
25.0,389.98,254.43
25.1,433.28,298.52
25.2,481.67,349.69
25.3,535.81,409.02
25.4,596.45,477.74
25.5,664.42,557.26
25.6,740.68,649.23
25.7,826.32,755.52
25.8,922.57,878.26
25.9,1030.84,1019.95
