limitingDepth,numDetections,oneSigma
21.0,14.90,2.56
21.1,17.07,2.80
21.2,19.51,3.02
21.3,22.25,3.22
21.4,25.31,3.41
21.5,28.73,3.57
21.6,32.54,3.70
21.7,36.77,3.82
21.8,41.48,3.94
21.9,46.71,4.10
22.0,52.50,4.37
22.1,58.91,4.83
22.2,66.01,5.58
22.3,73.84,6.72
22.4,82.49,8.33
22.5,92.04,10.48
22.6,102.57,13.23
22.7,114.18,16.68
22.8,126.98,20.92
22.9,141.10,26.09
23.0,156.66,32.32
23.1,173.81,39.80
23.2,192.74,48.73
23.3,213.62,59.35
23.4,236.68,71.94
23.5,262.16,86.83
23.6,290.33,104.41
23.7,321.50,125.09
23.8,356.02,149.40
23.9,394.28,177.92
24.0,436.74,211.31
24.1,483.90,250.35
24.2,536.34,295.93
24.3,594.71,349.07
