limitingDepth,numDetections,oneSigma
21.0,0.00,0.00
21.1,0.00,0.00
21.2,0.00,0.00
21.3,0.00,0.00
21.4,0.00,0.00
21.5,0.00,0.00
21.6,0.00,0.00
21.7,0.01,0.00
21.8,0.01,0.01
21.9,0.01,0.01
22.0,0.01,0.01
22.1,0.01,0.01
22.2,0.01,0.01
22.3,0.01,0.01
22.4,0.02,0.01
22.5,0.02,0.01
22.6,0.02,0.02
22.7,0.03,0.02
22.8,0.03,0.02
22.9,0.04,0.02
23.0,0.04,0.03
23.1,0.05,0.03
23.2,0.06,0.03
23.3,0.07,0.03
23.4,0.09,0.04
23.5,0.10,0.04
23.6,0.12,0.05
23.7,0.14,0.05
23.8,0.17,0.06
23.9,0.20,0.06
24.0,0.23,0.06
24.1,0.27,0.07
24.2,0.32,0.08
24.3,0.38,0.08
24.4,0.45,0.09
24.5,0.53,0.10
24.6,0.62,0.12
24.7,0.73,0.14
24.8,0.85,0.16
24.9,1.00,0.18
25.0,1.17,0.21
25.1,1.36,0.24
25.2,1.58,0.28
25.3,1.83,0.32
25.4,2.11,0.36
25.5,2.43,0.40
25.6,2.80,0.44
25.7,3.21,0.48
25.8,3.67,0.52
25.9,4.19,0.56
