limitingDepth,numDetections,oneSigma
21.0,0.00,0.00
21.1,0.00,0.00
21.2,0.00,0.00
21.3,0.00,0.00
21.4,0.00,0.00
21.5,0.00,0.00
21.6,0.00,0.00
21.7,0.00,0.00
21.8,0.00,0.00
21.9,0.00,0.00
22.0,0.00,0.00
22.1,0.00,0.00
22.2,0.00,0.00
22.3,0.00,0.00
22.4,0.00,0.00
22.5,0.00,0.00
22.6,0.00,0.00
22.7,0.00,0.00
22.8,0.00,0.00
22.9,0.00,0.00
23.0,0.00,0.00
23.1,0.00,0.00
23.2,0.00,0.00
23.3,0.00,0.00
23.4,0.00,0.00
23.5,0.00,0.00
23.6,0.00,0.00
23.7,0.00,0.00
23.8,0.00,0.00
23.9,0.00,0.00
24.0,0.00,0.00
24.1,0.00,0.00
24.2,0.00,0.00
24.3,0.00,0.00
24.4,0.00,0.00
24.5,0.00,0.00
24.6,0.00,0.00
24.7,0.00,0.00
24.8,0.00,0.00
24.9,0.00,0.00
25.0,0.00,0.00
25.1,0.00,0.00
25.2,0.00,0.00
25.3,0.00,0.00
25.4,0.00,0.00
25.5,0.00,0.00
25.6,0.00,0.00
25.7,0.00,0.00
25.8,0.00,0.00
25.9,0.00,0.00
