limitingDepth,numDetections,oneSigma
21.0,41.17,6.61
21.1,47.16,7.20
21.2,53.90,7.77
21.3,61.46,8.28
21.4,69.93,8.73
21.5,79.39,9.12
21.6,89.94,9.44
21.7,101.70,9.71
21.8,114.78,9.99
21.9,129.31,10.39
22.0,145.43,11.09
22.1,163.30,12.34
22.2,183.09,14.42
22.3,204.98,17.59
22.4,229.18,22.05
22.5,255.92,27.97
22.6,285.46,35.55
22.7,318.07,45.03
22.8,354.06,56.69
22.9,393.79,70.88
23.0,437.64,88.02
23.1,486.05,108.59
23.2,539.50,133.16
23.3,598.53,162.42
23.4,663.77,197.13
23.5,735.91,238.21
23.6,815.72,286.71
23.7,904.08,343.84
23.8,1001.98,411.01
23.9,1110.56,489.84
24.0,1231.06,582.20
24.1,1364.94,690.24
24.2,1513.81,816.43
24.3,1679.52,963.61
24.4,1864.16,1135.06
24.5,2070.08,1334.52
24.6,2299.97,1566.31
24.7,2556.87,1835.37
24.8,2844.23,2147.40
24.9,3165.98,2508.90
25.0,3526.56,2927.38
25.1,3931.02,3411.42
25.2,4385.10,3970.89
25.3,4895.32,4617.15
25.4,5469.08,5363.20
25.5,6114.81,6224.03
25.6,6842.07,7216.83
25.7,7661.76,8361.40
25.8,8586.26,9680.51
25.9,9629.66,11200.35
