limitingDepth,numDetections,oneSigma
21.0,128.81,16.01
21.1,145.90,16.62
21.2,164.92,17.15
21.3,186.05,17.69
21.4,209.50,18.40
21.5,235.49,19.56
21.6,264.25,21.59
21.7,296.06,24.93
21.8,331.21,30.03
21.9,370.01,37.23
22.0,412.82,46.86
22.1,460.04,59.24
22.2,512.10,74.74
22.3,569.48,93.84
22.4,632.73,117.08
22.5,702.46,145.13
22.6,779.33,178.78
22.7,864.11,218.95
22.8,957.65,266.74
22.9,1060.92,323.39
23.0,1174.99,390.37
23.1,1301.10,469.39
23.2,1440.62,562.41
23.3,1595.12,671.69
23.4,1766.37,799.87
23.5,1956.36,949.94
23.6,2167.38,1125.39
23.7,2401.98,1330.20
23.8,2663.10,1568.97
23.9,2954.04,1846.95
24.0,3278.56,2170.21
24.1,3640.92,2545.69
24.2,4045.96,2981.35
24.3,4499.19,3486.34
