limitingDepth,numDetections,oneSigma
21.0,0.01,0.00
21.1,0.01,0.01
21.2,0.01,0.01
21.3,0.01,0.01
21.4,0.01,0.01
21.5,0.01,0.01
21.6,0.02,0.01
21.7,0.02,0.01
21.8,0.02,0.01
21.9,0.03,0.02
22.0,0.03,0.02
22.1,0.04,0.02
22.2,0.05,0.02
22.3,0.05,0.02
22.4,0.06,0.03
22.5,0.08,0.03
22.6,0.09,0.03
22.7,0.10,0.04
22.8,0.12,0.04
22.9,0.15,0.04
23.0,0.17,0.05
23.1,0.20,0.05
23.2,0.24,0.06
23.3,0.28,0.06
23.4,0.34,0.07
23.5,0.39,0.08
23.6,0.46,0.09
23.7,0.54,0.10
23.8,0.63,0.11
23.9,0.74,0.13
24.0,0.86,0.14
24.1,0.99,0.16
24.2,1.15,0.18
24.3,1.33,0.19
24.4,1.53,0.21
24.5,1.76,0.23
24.6,2.02,0.25
24.7,2.31,0.26
24.8,2.64,0.28
24.9,3.01,0.29
25.0,3.43,0.30
25.1,3.90,0.31
25.2,4.43,0.31
25.3,5.03,0.31
25.4,5.69,0.31
25.5,6.44,0.32
25.6,7.27,0.34
25.7,8.20,0.38
25.8,9.24,0.47
25.9,10.40,0.59
