limitingDepth,numDetections,oneSigma
21.0,0.00,0.00
21.1,0.00,0.00
21.2,0.00,0.00
21.3,0.00,0.00
21.4,0.00,0.00
21.5,0.00,0.00
21.6,0.00,0.00
21.7,0.00,0.00
21.8,0.00,0.00
21.9,0.00,0.00
22.0,0.00,0.00
22.1,0.00,0.00
22.2,0.00,0.00
22.3,0.00,0.00
22.4,0.00,0.00
22.5,0.00,0.00
22.6,0.00,0.00
22.7,0.00,0.00
22.8,0.00,0.00
22.9,0.00,0.00
23.0,0.00,0.00
23.1,0.00,0.00
23.2,0.00,0.00
23.3,0.00,0.00
23.4,0.00,0.00
23.5,0.00,0.00
23.6,0.01,0.00
23.7,0.01,0.01
23.8,0.01,0.01
23.9,0.01,0.01
24.0,0.01,0.01
24.1,0.01,0.01
24.2,0.02,0.01
24.3,0.02,0.01
24.4,0.02,0.01
24.5,0.02,0.01
24.6,0.03,0.02
24.7,0.03,0.02
24.8,0.04,0.02
24.9,0.05,0.02
25.0,0.06,0.02
25.1,0.07,0.03
25.2,0.08,0.03
25.3,0.09,0.03
25.4,0.11,0.03
25.5,0.13,0.04
25.6,0.15,0.04
25.7,0.18,0.04
25.8,0.21,0.05
25.9,0.25,0.05
