limitingDepth,numDetections,oneSigma
18.5,0.16,0.11
18.6,0.19,0.13
18.7,0.22,0.14
18.8,0.26,0.16
18.9,0.31,0.18
19.0,0.36,0.20
19.1,0.42,0.23
19.2,0.50,0.26
19.3,0.58,0.29
19.4,0.69,0.32
19.5,0.81,0.35
19.6,0.96,0.38
19.7,1.13,0.42
19.8,1.33,0.46
19.9,1.57,0.50
20.0,1.85,0.54
20.1,2.19,0.59
20.2,2.58,0.64
20.3,3.05,0.70
20.4,3.60,0.77
20.5,4.24,0.86
20.6,4.99,0.96
20.7,5.86,1.10
20.8,6.87,1.26
20.9,8.04,1.46
21.0,9.38,1.69
21.1,10.93,1.95
21.2,12.71,2.24
21.3,14.74,2.56
21.4,17.05,2.90
21.5,19.67,3.25
21.6,22.65,3.62
21.7,26.01,3.98
21.8,29.80,4.34
21.9,34.07,4.68
22.0,38.86,5.00
22.1,44.23,5.28
22.2,50.24,5.51
22.3,56.96,5.70
22.4,64.45,5.86
22.5,72.79,6.02
22.6,82.06,6.23
22.7,92.36,6.62
22.8,103.79,7.34
22.9,116.46,8.58
23.0,130.48,10.49
23.1,146.01,13.22
23.2,163.17,16.86
23.3,182.15,21.56
23.4,203.11,27.44
23.5,226.26,34.71
23.6,251.83,43.57
23.7,280.07,54.30
23.8,311.25,67.19
23.9,345.69,82.62
24.0,383.75,101.01
24.1,425.82,122.85
24.2,472.33,148.73
24.3,523.80,179.30
24.4,580.79,215.34
24.5,643.93,257.75
24.6,713.94,307.54
24.7,791.64,365.91
24.8,877.93,434.22
24.9,973.87,514.04
