limitingDepth,numDetections,oneSigma
18.5,9.33,3.67
18.6,11.00,4.01
18.7,12.98,4.36
18.8,15.33,4.73
18.9,18.12,5.13
19.0,21.42,5.58
19.1,25.32,6.09
19.2,29.92,6.72
19.3,35.33,7.52
19.4,41.69,8.53
19.5,49.12,9.81
19.6,57.78,11.42
19.7,67.83,13.38
19.8,79.46,15.71
19.9,92.85,18.40
20.0,108.21,21.42
20.1,125.77,24.75
20.2,145.78,28.33
20.3,168.49,32.08
20.4,194.21,35.93
20.5,223.24,39.80
20.6,255.93,43.59
20.7,292.66,47.20
20.8,333.83,50.56
20.9,379.88,53.58
21.0,431.28,56.20
21.1,488.57,58.45
21.2,552.31,60.40
21.3,623.10,62.33
21.4,701.63,64.77
21.5,788.62,68.60
21.6,884.88,75.12
21.7,991.29,85.86
21.8,1108.81,102.32
21.9,1238.51,125.79
22.0,1381.55,157.37
22.1,1539.24,198.15
22.2,1713.03,249.41
22.3,1904.52,312.65
22.4,2115.49,389.71
22.5,2347.96,482.80
22.6,2604.15,594.52
22.7,2886.60,727.93
22.8,3198.12,886.63
22.9,3541.91,1074.82
23.0,3921.56,1297.37
23.1,4341.12,1559.92
23.2,4805.19,1869.02
23.3,5318.94,2232.22
23.4,5888.26,2658.23
23.5,6519.79,3157.10
23.6,7221.08,3740.38
23.7,8000.68,4421.36
23.8,8868.28,5215.31
23.9,9834.90,6139.76
24.0,10913.02,7214.83
24.1,12116.81,8463.64
24.2,13462.37,9912.69
24.3,14967.99,11592.40
24.4,16654.41,13537.67
24.5,18545.22,15788.53
24.6,20667.22,18390.93
24.7,23050.84,21397.60
24.8,25730.68,24869.09
24.9,28746.07,28874.91
