limitingDepth,numDetections,oneSigma
18.5,0.65,0.39
18.6,0.76,0.43
18.7,0.89,0.48
18.8,1.05,0.54
18.9,1.23,0.60
19.0,1.45,0.66
19.1,1.70,0.73
19.2,2.01,0.81
19.3,2.36,0.88
19.4,2.79,0.96
19.5,3.30,1.04
19.6,3.89,1.13
19.7,4.60,1.22
19.8,5.44,1.34
19.9,6.43,1.47
20.0,7.59,1.64
20.1,8.96,1.85
20.2,10.57,2.12
20.3,12.44,2.47
20.4,14.61,2.89
20.5,17.12,3.39
20.6,20.02,3.97
20.7,23.35,4.64
20.8,27.16,5.37
20.9,31.51,6.16
21.0,36.44,7.00
21.1,42.04,7.86
21.2,48.36,8.73
21.3,55.47,9.59
21.4,63.47,10.42
21.5,72.45,11.19
21.6,82.49,11.88
21.7,93.70,12.50
21.8,106.21,13.02
21.9,120.12,13.48
22.0,135.58,13.90
22.1,152.74,14.41
22.2,171.75,15.17
22.3,192.79,16.45
22.4,216.06,18.59
22.5,241.76,21.93
22.6,270.12,26.78
22.7,301.41,33.38
22.8,335.90,41.98
22.9,373.92,52.85
23.0,415.80,66.33
23.1,461.95,82.79
23.2,512.80,102.70
23.3,568.83,126.65
23.4,630.60,155.27
23.5,698.72,189.34
23.6,773.87,229.78
23.7,856.85,277.63
23.8,948.54,334.11
23.9,1049.93,400.64
24.0,1162.15,478.85
24.1,1286.47,570.63
24.2,1424.34,678.14
24.3,1577.40,803.90
24.4,1747.51,950.77
24.5,1936.76,1122.06
24.6,2147.56,1321.56
24.7,2382.61,1553.65
24.8,2644.99,1823.31
24.9,2938.19,2136.30
