limitingDepth,numDetections,oneSigma
18.5,1.67,0.96
18.6,1.96,1.07
18.7,2.30,1.19
18.8,2.71,1.33
18.9,3.18,1.47
19.0,3.74,1.62
19.1,4.41,1.78
19.2,5.20,1.95
19.3,6.13,2.12
19.4,7.24,2.31
19.5,8.56,2.50
19.6,10.11,2.71
19.7,11.96,2.96
19.8,14.13,3.25
19.9,16.69,3.62
20.0,19.70,4.08
20.1,23.23,4.68
20.2,27.34,5.43
20.3,32.13,6.35
20.4,37.67,7.45
20.5,44.06,8.74
20.6,51.39,10.20
20.7,59.79,11.83
20.8,69.37,13.58
20.9,80.26,15.44
21.0,92.61,17.36
21.1,106.55,19.30
21.2,122.27,21.22
21.3,139.94,23.07
21.4,159.76,24.81
21.5,181.94,26.38
21.6,206.72,27.77
21.7,234.36,28.96
21.8,265.11,29.98
21.9,299.30,30.93
22.0,337.23,32.03
22.1,379.28,33.65
22.2,425.81,36.37
22.3,477.27,40.92
22.4,534.12,48.10
22.5,596.87,58.56
22.6,666.09,72.90
22.7,742.41,91.66
22.8,826.52,115.43
22.9,919.20,144.91
23.0,1021.31,180.99
23.1,1133.82,224.67
23.2,1257.80,277.21
23.3,1394.47,340.05
23.4,1545.17,414.89
23.5,1711.45,503.74
23.6,1895.03,608.89
23.7,2097.84,733.04
23.8,2322.10,879.31
23.9,2570.30,1051.28
24.0,2845.24,1253.12
24.1,3150.11,1489.61
24.2,3488.53,1766.27
24.3,3864.61,2089.41
24.4,4282.97,2466.35
24.5,4748.91,2905.43
24.6,5268.39,3416.27
24.7,5848.22,4009.89
24.8,6496.09,4698.94
24.9,7220.78,5497.95
