limitingDepth,numDetections,oneSigma
18.5,0.16,0.10
18.6,0.19,0.12
18.7,0.23,0.13
18.8,0.26,0.15
18.9,0.31,0.17
19.0,0.36,0.18
19.1,0.43,0.20
19.2,0.50,0.23
19.3,0.59,0.25
19.4,0.70,0.27
19.5,0.83,0.30
19.6,0.97,0.32
19.7,1.15,0.35
19.8,1.36,0.38
19.9,1.61,0.41
20.0,1.90,0.45
20.1,2.25,0.50
20.2,2.65,0.56
20.3,3.13,0.64
20.4,3.69,0.74
20.5,4.34,0.87
20.6,5.10,1.02
20.7,5.97,1.19
20.8,6.97,1.40
20.9,8.12,1.63
21.0,9.43,1.88
21.1,10.93,2.14
21.2,12.62,2.42
21.3,14.54,2.70
21.4,16.70,2.98
21.5,19.13,3.25
21.6,21.86,3.51
21.7,24.92,3.75
21.8,28.34,3.96
21.9,32.15,4.15
22.0,36.40,4.31
22.1,41.13,4.45
22.2,46.37,4.60
22.3,52.19,4.79
22.4,58.62,5.12
22.5,65.74,5.66
22.6,73.61,6.53
22.7,82.30,7.84
22.8,91.88,9.68
22.9,102.45,12.12
23.0,114.09,15.25
23.1,126.93,19.16
23.2,141.06,23.97
23.3,156.64,29.81
23.4,173.80,36.85
23.5,192.71,45.28
23.6,213.56,55.35
23.7,236.55,67.31
23.8,261.93,81.48
23.9,289.97,98.22
24.0,320.95,117.97
24.1,355.23,141.20
24.2,393.18,168.49
24.3,435.25,200.48
24.4,481.94,237.92
24.5,533.79,281.69
24.6,591.45,332.76
24.7,655.64,392.29
24.8,727.18,461.57
24.9,806.99,542.12
