limitingDepth,numDetections,oneSigma
18.5,6.16,2.73
18.6,7.26,3.00
18.7,8.55,3.29
18.8,10.08,3.59
18.9,11.90,3.90
19.0,14.05,4.23
19.1,16.59,4.58
19.2,19.59,4.97
19.3,23.13,5.43
19.4,27.29,5.97
19.5,32.18,6.65
19.6,37.91,7.50
19.7,44.60,8.57
19.8,52.38,9.90
19.9,61.40,11.52
20.0,71.83,13.44
20.1,83.84,15.67
20.2,97.62,18.18
20.3,113.39,20.96
20.4,131.36,23.96
20.5,151.80,27.14
20.6,174.97,30.44
20.7,201.16,33.79
20.8,230.68,37.10
20.9,263.90,40.29
21.0,301.17,43.27
21.1,342.91,45.96
21.2,389.55,48.30
21.3,441.59,50.26
21.4,499.55,51.91
21.5,564.00,53.44
21.6,635.56,55.32
21.7,714.91,58.31
21.8,802.81,63.61
21.9,900.06,72.67
22.0,1007.57,86.91
22.1,1126.32,107.52
22.2,1257.40,135.49
22.3,1402.03,171.81
22.4,1561.53,217.60
22.5,1737.41,274.24
22.6,1931.30,343.39
22.7,2145.07,427.05
22.8,2380.78,527.58
22.9,2640.75,647.78
23.0,2927.58,790.89
23.1,3244.22,960.74
23.2,3593.95,1161.73
23.3,3980.50,1398.99
23.4,4408.08,1678.45
23.5,4881.45,2006.97
23.6,5405.97,2392.45
23.7,5987.73,2844.01
23.8,6633.64,3372.14
23.9,7351.51,3988.91
24.0,8150.19,4708.20
24.1,9039.75,5545.95
24.2,10031.59,6520.47
24.3,11138.65,7652.79
24.4,12375.63,8967.02
24.5,13759.22,10490.87
24.6,15308.36,12256.09
24.7,17044.58,14299.18
24.8,18992.34,16661.97
24.9,21179.43,19392.52
