limitingDepth,numDetections,oneSigma
18.5,1.13,0.65
18.6,1.33,0.73
18.7,1.56,0.82
18.8,1.84,0.91
18.9,2.16,1.01
19.0,2.54,1.12
19.1,3.00,1.23
19.2,3.53,1.34
19.3,4.17,1.47
19.4,4.92,1.59
19.5,5.81,1.73
19.6,6.87,1.87
19.7,8.12,2.04
19.8,9.59,2.23
19.9,11.33,2.47
20.0,13.36,2.77
20.1,15.75,3.15
20.2,18.53,3.62
20.3,21.77,4.20
20.4,25.51,4.90
20.5,29.84,5.72
20.6,34.80,6.66
20.7,40.50,7.70
20.8,47.00,8.83
20.9,54.39,10.04
21.0,62.79,11.30
21.1,72.29,12.58
21.2,83.01,13.86
21.3,95.09,15.11
21.4,108.65,16.29
21.5,123.87,17.37
21.6,140.89,18.34
21.7,159.90,19.16
21.8,181.10,19.86
21.9,204.70,20.47
22.0,230.94,21.11
22.1,260.05,22.00
22.2,292.34,23.50
22.3,328.09,26.11
22.4,367.64,30.39
22.5,411.37,36.84
22.6,459.67,45.89
22.7,512.99,57.92
22.8,571.83,73.33
22.9,636.74,92.59
23.0,708.33,116.28
23.1,787.28,145.09
23.2,874.36,179.87
23.3,970.42,221.58
23.4,1076.41,271.40
23.5,1193.42,330.65
23.6,1322.65,400.93
23.7,1465.47,484.05
23.8,1623.41,582.12
23.9,1798.21,697.60
24.0,1991.84,833.31
24.1,2206.52,992.50
24.2,2444.76,1178.93
24.3,2709.41,1396.91
24.4,3003.68,1651.43
24.5,3331.25,1948.17
24.6,3696.24,2293.72
24.7,4103.38,2695.58
24.8,4557.98,3162.42
24.9,5066.10,3704.16
