limitingDepth,numDetections,oneSigma
18.5,0.12,0.09
18.6,0.14,0.10
18.7,0.17,0.12
18.8,0.20,0.13
18.9,0.23,0.15
19.0,0.27,0.17
19.1,0.32,0.19
19.2,0.38,0.21
19.3,0.44,0.24
19.4,0.52,0.27
19.5,0.61,0.30
19.6,0.72,0.33
19.7,0.85,0.36
19.8,1.00,0.40
19.9,1.18,0.43
20.0,1.39,0.47
20.1,1.65,0.51
20.2,1.94,0.56
20.3,2.30,0.60
20.4,2.71,0.66
20.5,3.20,0.72
20.6,3.77,0.80
20.7,4.45,0.89
20.8,5.23,1.01
20.9,6.14,1.15
21.0,7.20,1.33
21.1,8.42,1.54
21.2,9.83,1.78
21.3,11.45,2.05
21.4,13.30,2.35
21.5,15.41,2.68
21.6,17.81,3.03
21.7,20.54,3.39
21.8,23.63,3.75
21.9,27.12,4.12
22.0,31.06,4.48
22.1,35.48,4.82
22.2,40.45,5.12
22.3,46.02,5.39
22.4,52.24,5.62
22.5,59.19,5.81
22.6,66.93,5.96
22.7,75.56,6.13
22.8,85.14,6.39
22.9,95.79,6.85
23.0,107.59,7.70
23.1,120.67,9.11
23.2,135.15,11.24
23.3,151.17,14.20
23.4,168.88,18.13
23.5,188.45,23.15
23.6,210.07,29.42
23.7,233.95,37.12
23.8,260.32,46.49
23.9,289.44,57.82
24.0,321.59,71.41
24.1,357.11,87.66
24.2,396.36,107.01
24.3,439.74,129.98
24.4,487.73,157.16
24.5,540.82,189.27
24.6,599.62,227.09
24.7,664.79,271.57
24.8,737.05,323.77
24.9,817.27,384.94
