limitingDepth,numDetections,oneSigma
18.5,1.37,0.75
18.6,1.61,0.84
18.7,1.89,0.93
18.8,2.23,1.04
18.9,2.62,1.14
19.0,3.09,1.26
19.1,3.64,1.38
19.2,4.30,1.50
19.3,5.08,1.63
19.4,6.00,1.77
19.5,7.09,1.92
19.6,8.38,2.09
19.7,9.90,2.29
19.8,11.69,2.54
19.9,13.79,2.85
20.0,16.25,3.24
20.1,19.12,3.74
20.2,22.46,4.34
20.3,26.32,5.07
20.4,30.77,5.92
20.5,35.89,6.89
20.6,41.75,7.96
20.7,48.44,9.12
20.8,56.04,10.36
20.9,64.67,11.64
21.0,74.43,12.95
21.1,85.45,14.25
21.2,97.85,15.51
21.3,111.78,16.70
21.4,127.39,17.79
21.5,144.86,18.75
21.6,164.36,19.58
21.7,186.10,20.27
21.8,210.29,20.89
21.9,237.18,21.57
22.0,267.01,22.53
22.1,300.08,24.16
22.2,336.70,26.99
22.3,377.21,31.57
22.4,421.97,38.41
22.5,471.42,47.93
22.6,525.99,60.51
22.7,586.21,76.56
22.8,652.64,96.58
22.9,725.89,121.16
23.0,806.68,151.03
23.1,895.78,187.04
23.2,994.06,230.22
23.3,1102.51,281.74
23.4,1222.23,343.00
23.5,1354.46,415.62
23.6,1500.60,501.48
23.7,1662.24,602.76
23.8,1841.14,721.99
23.9,2039.33,862.06
24.0,2259.08,1026.33
24.1,2502.99,1218.66
24.2,2773.96,1443.51
24.3,3075.31,1705.98
24.4,3410.79,2011.95
24.5,3784.67,2368.17
24.6,4201.77,2782.39
24.7,4667.57,3263.50
24.8,5188.28,3821.72
24.9,5770.97,4468.76
