limitingDepth,numDetections,oneSigma
18.5,0.14,0.09
18.6,0.16,0.10
18.7,0.19,0.12
18.8,0.23,0.13
18.9,0.26,0.15
19.0,0.31,0.17
19.1,0.36,0.18
19.2,0.43,0.20
19.3,0.50,0.23
19.4,0.59,0.25
19.5,0.70,0.27
19.6,0.83,0.30
19.7,0.97,0.32
19.8,1.15,0.35
19.9,1.36,0.38
20.0,1.61,0.41
20.1,1.90,0.45
20.2,2.25,0.50
20.3,2.65,0.56
20.4,3.13,0.64
20.5,3.69,0.74
20.6,4.34,0.87
20.7,5.10,1.02
20.8,5.97,1.19
20.9,6.97,1.40
21.0,8.12,1.63
21.1,9.43,1.88
21.2,10.93,2.14
21.3,12.62,2.42
21.4,14.54,2.70
21.5,16.70,2.98
21.6,19.13,3.25
21.7,21.86,3.51
21.8,24.92,3.75
21.9,28.34,3.96
22.0,32.15,4.15
22.1,36.40,4.31
22.2,41.13,4.45
22.3,46.37,4.60
22.4,52.19,4.79
22.5,58.62,5.12
22.6,65.74,5.66
22.7,73.61,6.53
22.8,82.30,7.84
22.9,91.88,9.68
23.0,102.45,12.12
23.1,114.09,15.25
23.2,126.93,19.16
23.3,141.06,23.97
23.4,156.64,29.81
23.5,173.80,36.85
23.6,192.71,45.28
23.7,213.56,55.35
23.8,236.55,67.31
23.9,261.93,81.48
24.0,289.97,98.22
24.1,320.95,117.97
24.2,355.23,141.20
24.3,393.18,168.49
24.4,435.25,200.48
24.5,481.94,237.92
24.6,533.79,281.69
24.7,591.45,332.76
24.8,655.64,392.29
24.9,727.18,461.57
