limitingDepth,numDetections,oneSigma
18.5,55.02,16.61
18.6,64.96,18.00
18.7,76.70,19.53
18.8,90.54,21.29
18.9,106.83,23.40
19.0,125.96,26.02
19.1,148.36,29.31
19.2,174.51,33.45
19.3,204.95,38.59
19.4,240.26,44.85
19.5,281.08,52.29
19.6,328.11,60.93
19.7,382.11,70.73
19.8,443.90,81.58
19.9,514.37,93.35
20.0,594.52,105.85
20.1,685.39,118.82
20.2,788.13,132.00
20.3,904.01,145.06
20.4,1034.38,157.66
20.5,1180.73,169.47
20.6,1344.66,180.15
20.7,1527.94,189.44
20.8,1732.46,197.25
20.9,1960.30,203.76
21.0,2213.72,209.72
21.1,2495.17,216.78
21.2,2807.36,227.96
21.3,3153.22,247.82
21.4,3535.99,282.09
21.5,3959.19,336.48
21.6,4426.74,415.79
21.7,4942.94,523.97
21.8,5512.54,664.90
21.9,6140.82,842.96
22.0,6833.65,1063.53
22.1,7597.54,1333.09
22.2,8439.79,1659.46
22.3,9368.55,2051.89
22.4,10392.94,2521.31
22.5,11523.23,3080.47
22.6,12770.94,3744.28
22.7,14149.06,4530.05
22.8,15672.23,5457.86
22.9,17357.00,6550.94
23.0,19222.04,7836.18
23.1,21288.50,9344.55
23.2,23580.30,11111.80
23.3,26124.55,13179.07
23.4,28951.95,15593.69
23.5,32097.33,18410.09
23.6,35600.19,21690.78
23.7,39505.33,25507.59
23.8,43863.60,29942.97
23.9,48732.73,35091.56
24.0,54178.26,41061.98
24.1,60274.62,47978.91
24.2,67106.37,55985.40
24.3,74769.54,65245.67
24.4,83373.29,75948.24
24.5,93041.66,88309.56
24.6,103915.64,102578.23
24.7,116155.56,119039.86
24.8,129943.73,138022.68
24.9,145487.53,159904.06
