limitingDepth,numDetections,oneSigma
18.5,15.26,3.41
18.6,18.02,3.82
18.7,21.26,4.34
18.8,25.05,5.01
18.9,29.47,5.83
19.0,34.59,6.84
19.1,40.51,8.03
19.2,47.32,9.40
19.3,55.14,10.94
19.4,64.07,12.63
19.5,74.24,14.44
19.6,85.78,16.33
19.7,98.85,18.27
19.8,113.59,20.21
19.9,130.19,22.10
20.0,148.83,23.91
20.1,169.72,25.57
20.2,193.08,27.07
20.3,219.15,28.36
20.4,248.19,29.47
20.5,280.50,30.44
20.6,316.38,31.43
20.7,356.17,32.71
20.8,400.25,34.75
20.9,449.01,38.22
21.0,502.90,43.89
21.1,562.42,52.50
21.2,628.09,64.69
21.3,700.52,80.99
21.4,780.36,101.98
21.5,868.34,128.28
21.6,965.28,160.69
21.7,1072.08,200.14
21.8,1189.76,247.74
21.9,1319.46,304.84
22.0,1462.44,372.99
22.1,1620.16,454.03
22.2,1794.22,550.09
22.3,1986.44,663.66
22.4,2198.90,797.61
22.5,2433.91,955.27
22.6,2694.10,1140.48
22.7,2982.48,1357.69
22.8,3302.40,1611.99
22.9,3657.70,1909.28
23.0,4052.73,2256.30
23.1,4492.40,2660.83
23.2,4982.32,3131.78
23.3,5528.82,3679.40
23.4,6139.10,4315.43
23.5,6821.35,5053.35
23.6,7584.84,5908.65
23.7,8440.12,6899.05
23.8,9399.17,8044.94
23.9,10475.61,9369.67
24.0,11684.89,10900.06
24.1,13044.59,12666.92
24.2,14574.71,14705.59
24.3,16297.94,17056.69
24.4,18240.15,19766.91
24.5,20430.70,22889.91
24.6,22903.04,26487.41
24.7,25695.22,30630.42
24.8,28850.56,35400.68
24.9,32418.39,40892.35
