limitingDepth,numDetections,oneSigma
18.5,251.48,49.38
18.6,294.83,57.90
18.7,344.83,67.86
18.8,402.29,79.21
18.9,468.09,91.82
19.0,543.16,105.50
19.1,628.52,120.00
19.2,725.30,135.06
19.3,834.71,150.33
19.4,958.06,165.47
19.5,1096.80,180.12
19.6,1252.47,193.90
19.7,1426.78,206.47
19.8,1621.57,217.57
19.9,1838.84,227.10
20.0,2080.75,235.23
20.1,2349.68,242.68
20.2,2648.20,251.01
20.3,2979.12,263.09
20.4,3345.51,283.38
20.5,3750.74,317.68
20.6,4198.50,372.19
20.7,4692.86,452.43
20.8,5238.30,563.03
20.9,5839.77,708.27
21.0,6502.76,892.81
21.1,7233.40,1122.21
21.2,8038.46,1403.19
21.3,8925.56,1743.82
21.4,9903.18,2153.76
21.5,10980.86,2644.36
21.6,12169.30,3228.98
21.7,13480.54,3923.20
21.8,14928.16,4745.16
21.9,16527.48,5715.93
22.0,18295.79,6859.91
22.1,20252.67,8205.29
22.2,22420.25,9784.63
22.3,24823.60,11635.45
22.4,27491.14,13800.96
22.5,30455.07,16330.87
22.6,33751.90,19282.30
22.7,37423.08,22720.90
22.8,41515.60,26722.01
22.9,46082.84,31372.16
23.0,51185.38,36770.62
23.1,56891.98,43031.28
23.2,63280.78,50284.84
23.3,70440.48,58681.26
23.4,78471.91,68392.61
23.5,87489.57,79616.35
23.6,97623.62,92579.17
23.7,109022.01,107541.35
23.8,121852.91,124801.84
23.9,136307.57,144704.10
24.0,152603.51,167642.94
24.1,170988.16,194072.33
24.2,191743.08,224514.48
24.3,215188.76,259570.40
24.4,241690.03,299932.01
24.5,271662.35,346396.21
24.6,305578.96,399881.15
24.7,343979.02,461444.91
24.8,387476.92,532307.10
24.9,436772.92,613873.76
