limitingDepth,numDetections,oneSigma
18.5,3.67,1.95
18.6,4.32,2.18
18.7,5.08,2.42
18.8,5.97,2.67
18.9,7.03,2.94
19.0,8.29,3.23
19.1,9.78,3.52
19.2,11.54,3.83
19.3,13.63,4.15
19.4,16.11,4.51
19.5,19.05,4.90
19.6,22.51,5.36
19.7,26.60,5.93
19.8,31.41,6.64
19.9,37.05,7.54
20.0,43.64,8.69
20.1,51.32,10.11
20.2,60.22,11.84
20.3,70.50,13.87
20.4,82.33,16.21
20.5,95.89,18.83
20.6,111.39,21.70
20.7,129.02,24.75
20.8,149.04,27.95
20.9,171.70,31.21
21.0,197.27,34.48
21.1,226.06,37.66
21.2,258.40,40.68
21.3,294.64,43.48
21.4,335.18,45.98
21.5,380.45,48.15
21.6,430.89,49.99
21.7,487.01,51.61
21.8,549.37,53.27
21.9,618.54,55.45
22.0,695.18,58.99
22.1,780.01,65.02
22.2,873.80,74.90
22.3,977.41,89.89
22.4,1091.78,111.06
22.5,1217.97,139.36
22.6,1357.12,175.73
22.7,1510.52,221.31
22.8,1679.60,277.44
22.9,1865.95,345.76
23.0,2071.35,428.24
23.1,2297.80,527.17
23.2,2547.54,645.29
23.3,2823.08,785.78
23.4,3127.25,952.37
23.5,3463.25,1149.35
23.6,3834.69,1381.74
23.7,4245.65,1655.33
23.8,4700.72,1976.80
23.9,5205.13,2353.86
24.0,5764.78,2795.39
24.1,6386.36,3311.62
24.2,7077.47,3914.29
24.3,7846.70,4616.92
24.4,8703.82,5435.02
24.5,9659.89,6386.40
24.6,10727.49,7491.51
24.7,11920.87,8773.79
24.8,13256.25,10260.19
24.9,14752.00,11981.56
