limitingDepth,numDetections,oneSigma
18.5,41.91,14.81
18.6,49.45,16.10
18.7,58.37,17.45
18.8,68.93,18.91
18.9,81.40,20.54
19.0,96.10,22.42
19.1,113.42,24.70
19.2,133.75,27.54
19.3,157.55,31.14
19.4,185.34,35.67
19.5,217.69,41.30
19.6,255.19,48.12
19.7,298.53,56.21
19.8,348.43,65.57
19.9,405.70,76.13
20.0,471.18,87.78
20.1,545.83,100.35
20.2,630.64,113.62
20.3,726.74,127.34
20.4,835.31,141.18
20.5,957.67,154.81
20.6,1095.24,167.89
20.7,1249.56,180.04
20.8,1422.31,190.96
20.9,1615.30,200.39
21.0,1830.54,208.30
21.1,2070.18,215.00
21.2,2336.56,221.42
21.3,2632.26,229.52
21.4,2960.07,242.72
21.5,3323.07,265.99
21.6,3724.61,305.29
21.7,4168.40,366.37
21.8,4658.49,453.96
21.9,5199.39,572.10
22.0,5796.06,724.85
22.1,6454.01,916.92
22.2,7179.38,1154.04
22.3,7978.99,1443.14
22.4,8860.48,1792.53
22.5,9832.37,2212.06
22.6,10904.26,2713.32
22.7,12086.90,3309.85
22.8,13392.39,4017.47
22.9,14834.38,4854.51
23.0,16428.27,5842.26
23.1,18191.43,7005.35
23.2,20143.52,8372.24
23.3,22306.80,9975.74
23.4,24706.44,11853.68
23.5,27371.00,14049.60
23.6,30332.80,16613.59
23.7,33628.54,19603.21
23.8,37299.82,23084.60
23.9,41393.87,27133.70
24.0,45964.27,31837.68
24.1,51071.88,37296.61
24.2,56785.77,43625.30
24.3,63184.41,50955.53
24.4,70356.93,59438.53
24.5,78404.59,69247.84
24.6,87442.47,80582.72
24.7,97601.35,93671.93
24.8,109029.91,108778.23
24.9,121897.18,126203.48
