limitingDepth,numDetections,oneSigma
18.5,0.41,0.20
18.6,0.49,0.22
18.7,0.57,0.24
18.8,0.67,0.27
18.9,0.79,0.29
19.0,0.94,0.32
19.1,1.11,0.34
19.2,1.31,0.37
19.3,1.55,0.40
19.4,1.83,0.44
19.5,2.16,0.49
19.6,2.56,0.55
19.7,3.02,0.62
19.8,3.56,0.72
19.9,4.18,0.83
20.0,4.91,0.98
20.1,5.76,1.15
20.2,6.73,1.35
20.3,7.84,1.57
20.4,9.12,1.82
20.5,10.57,2.08
20.6,12.21,2.35
20.7,14.08,2.63
20.8,16.18,2.92
20.9,18.55,3.19
21.0,21.21,3.45
21.1,24.19,3.70
21.2,27.52,3.91
21.3,31.24,4.10
21.4,35.39,4.27
21.5,40.00,4.41
21.6,45.12,4.55
21.7,50.80,4.74
21.8,57.09,5.02
21.9,64.05,5.51
22.0,71.74,6.30
22.1,80.23,7.50
22.2,89.60,9.21
22.3,99.93,11.51
22.4,111.32,14.47
22.5,123.87,18.20
22.6,137.70,22.79
22.7,152.93,28.38
22.8,169.71,35.13
22.9,188.20,43.23
23.0,208.59,52.91
23.1,231.08,64.41
23.2,255.89,78.05
23.3,283.29,94.17
23.4,313.57,113.20
23.5,347.06,135.59
23.6,384.14,161.90
23.7,425.22,192.76
23.8,470.81,228.89
23.9,521.42,271.14
24.0,577.70,320.45
24.1,640.33,377.95
24.2,710.11,444.89
24.3,787.94,522.74
24.4,874.86,613.16
24.5,972.02,718.07
24.6,1080.74,839.68
24.7,1202.54,980.50
24.8,1339.10,1143.44
24.9,1492.37,1331.81
