limitingDepth,numDetections,oneSigma
18.5,0.59,0.36
18.6,0.69,0.40
18.7,0.81,0.45
18.8,0.95,0.50
18.9,1.12,0.56
19.0,1.32,0.62
19.1,1.55,0.69
19.2,1.82,0.76
19.3,2.15,0.83
19.4,2.53,0.91
19.5,2.99,0.98
19.6,3.53,1.07
19.7,4.17,1.16
19.8,4.93,1.26
19.9,5.83,1.38
20.0,6.89,1.52
20.1,8.13,1.71
20.2,9.59,1.94
20.3,11.30,2.24
20.4,13.28,2.61
20.5,15.58,3.06
20.6,18.24,3.59
20.7,21.30,4.19
20.8,24.81,4.88
20.9,28.81,5.62
21.0,33.37,6.42
21.1,38.55,7.26
21.2,44.41,8.11
21.3,51.02,8.97
21.4,58.46,9.80
21.5,66.81,10.59
21.6,76.18,11.32
21.7,86.64,11.97
21.8,98.33,12.53
21.9,111.34,13.01
22.0,125.82,13.43
22.1,141.89,13.86
22.2,159.72,14.44
22.3,179.47,15.39
22.4,201.31,16.99
22.5,225.46,19.61
22.6,252.12,23.57
22.7,281.55,29.14
22.8,314.00,36.57
22.9,349.77,46.09
23.0,389.20,58.00
23.1,432.64,72.66
23.2,480.51,90.49
23.3,533.25,111.99
23.4,591.39,137.76
23.5,655.49,168.51
23.6,726.20,205.07
23.7,804.24,248.39
23.8,890.44,299.59
23.9,985.72,359.97
24.0,1091.13,431.03
24.1,1207.85,514.50
24.2,1337.21,612.36
24.3,1480.75,726.92
24.4,1640.18,860.83
24.5,1817.44,1017.11
24.6,2014.76,1199.28
24.7,2234.65,1411.33
24.8,2479.96,1657.87
24.9,2753.91,1944.19
