limitingDepth,numDetections,oneSigma
18.5,5.80,2.64
18.6,6.83,2.91
18.7,8.05,3.19
18.8,9.49,3.49
18.9,11.19,3.80
19.0,13.21,4.12
19.1,15.59,4.47
19.2,18.41,4.84
19.3,21.73,5.27
19.4,25.65,5.77
19.5,30.26,6.39
19.6,35.66,7.16
19.7,41.97,8.14
19.8,49.33,9.36
19.9,57.87,10.87
20.0,67.77,12.67
20.1,79.19,14.80
20.2,92.32,17.22
20.3,107.36,19.94
20.4,124.55,22.91
20.5,144.11,26.09
20.6,166.31,29.42
20.7,191.43,32.83
20.8,219.79,36.24
20.9,251.72,39.57
21.0,287.58,42.72
21.1,327.78,45.61
21.2,372.74,48.15
21.3,422.93,50.31
21.4,478.87,52.11
21.5,541.10,53.68
21.6,610.25,55.34
21.7,686.96,57.73
21.8,771.96,61.89
21.9,866.05,69.18
22.0,970.10,81.11
22.1,1085.05,99.00
22.2,1211.98,123.92
22.3,1352.03,156.86
22.4,1506.50,198.86
22.5,1676.83,251.21
22.6,1864.60,315.44
22.7,2071.60,393.42
22.8,2299.82,487.38
22.9,2551.48,599.95
23.0,2829.08,734.19
23.1,3135.44,893.71
23.2,3473.71,1082.69
23.3,3847.46,1305.99
23.4,4260.73,1569.23
23.5,4718.05,1878.93
23.6,5224.59,2242.59
23.7,5786.15,2668.89
23.8,6409.35,3167.79
23.9,7101.65,3750.78
24.0,7871.53,4431.06
24.1,8728.61,5223.81
24.2,9683.80,6146.45
24.3,10749.47,7218.99
24.4,11939.67,8464.41
24.5,13270.36,9909.07
24.6,14759.66,11583.20
24.7,16428.14,13521.55
24.8,18299.18,15763.94
24.9,20399.34,18356.11
