limitingDepth,numDetections,oneSigma
18.5,1.48,0.40
18.6,1.75,0.43
18.7,2.07,0.48
18.8,2.45,0.53
18.9,2.89,0.60
19.0,3.40,0.69
19.1,4.01,0.80
19.2,4.71,0.94
19.3,5.52,1.10
19.4,6.46,1.29
19.5,7.53,1.51
19.6,8.76,1.75
19.7,10.17,2.01
19.8,11.76,2.28
19.9,13.56,2.56
20.0,15.60,2.84
20.1,17.90,3.12
20.2,20.48,3.39
20.3,23.37,3.63
20.4,26.60,3.86
20.5,30.22,4.06
20.6,34.25,4.23
20.7,38.73,4.38
20.8,43.71,4.52
20.9,49.24,4.68
21.0,55.36,4.93
21.1,62.14,5.35
21.2,69.63,6.05
21.3,77.90,7.14
21.4,87.03,8.70
21.5,97.10,10.84
21.6,108.20,13.62
21.7,120.43,17.13
21.8,133.91,21.48
21.9,148.75,26.79
22.0,165.11,33.22
22.1,183.13,40.94
22.2,203.00,50.17
22.3,224.91,61.16
22.4,249.08,74.20
22.5,275.77,89.63
22.6,305.26,107.84
22.7,337.86,129.29
22.8,373.95,154.50
22.9,413.93,184.09
23.0,458.27,218.74
23.1,507.50,259.28
23.2,562.21,306.62
23.3,623.08,361.83
23.4,690.89,426.13
23.5,766.49,500.93
23.6,850.90,587.84
23.7,945.22,688.70
23.8,1050.74,805.65
23.9,1168.92,941.11
24.0,1301.39,1097.88
24.1,1450.03,1279.15
24.2,1616.97,1488.62
24.3,1804.62,1730.50
24.4,2015.74,2009.63
24.5,2253.46,2331.59
24.6,2521.32,2702.77
24.7,2823.36,3130.53
24.8,3164.19,3623.32
24.9,3549.03,4190.86
