limitingDepth,numDetections,oneSigma
18.5,39.06,8.07
18.6,46.04,9.24
18.7,54.19,10.71
18.8,63.66,12.52
18.9,74.63,14.69
19.0,87.27,17.22
19.1,101.80,20.10
19.2,118.43,23.29
19.3,137.41,26.74
19.4,158.97,30.40
19.5,183.42,34.19
19.6,211.04,38.03
19.7,242.18,41.82
19.8,277.19,45.48
19.9,316.47,48.91
20.0,360.44,52.04
20.1,409.57,54.79
20.2,464.35,57.15
20.3,525.34,59.17
20.4,593.13,61.04
20.5,668.36,63.18
20.6,751.74,66.33
20.7,844.05,71.65
20.8,946.13,80.59
20.9,1058.91,94.71
21.0,1183.41,115.36
21.1,1320.76,143.68
21.2,1472.21,180.75
21.3,1639.15,227.76
21.4,1823.10,286.10
21.5,2025.78,357.48
21.6,2249.10,443.96
21.7,2495.21,547.97
21.8,2766.51,672.40
21.9,3065.69,820.61
22.0,3395.79,996.56
22.1,3760.24,1204.84
22.2,4162.90,1450.76
22.3,4608.13,1740.51
22.4,5100.87,2081.20
22.5,5646.70,2481.08
22.6,6251.96,2949.63
22.7,6923.80,3497.76
22.8,7670.37,4138.05
22.9,8500.86,4884.93
23.0,9425.75,5754.98
23.1,10456.90,6767.26
23.2,11607.77,7943.61
23.3,12893.67,9309.14
23.4,14331.94,10892.61
23.5,15942.31,12727.05
23.6,17747.18,14850.34
23.7,19771.99,17305.98
23.8,22045.65,20143.84
23.9,24601.02,23421.21
24.0,27475.45,27203.85
24.1,30711.40,31567.30
24.2,34357.14,36598.35
24.3,38467.60,42396.77
24.4,43105.24,49077.28
24.5,48341.14,56771.83
24.6,54256.23,65632.32
24.7,60942.61,75833.60
24.8,68505.19,87577.09
24.9,77063.45,101094.82
