limitingDepth,numDetections,oneSigma
18.5,1.44,0.67
18.6,1.69,0.74
18.7,2.00,0.81
18.8,2.35,0.89
18.9,2.78,0.96
19.0,3.28,1.05
19.1,3.87,1.14
19.2,4.58,1.23
19.3,5.42,1.34
19.4,6.40,1.48
19.5,7.56,1.65
19.6,8.93,1.86
19.7,10.53,2.13
19.8,12.40,2.48
19.9,14.57,2.90
20.0,17.09,3.41
20.1,19.99,4.00
20.2,23.32,4.67
20.3,27.13,5.41
20.4,31.48,6.22
20.5,36.42,7.06
20.6,42.02,7.94
20.7,48.35,8.82
20.8,55.47,9.70
20.9,63.49,10.54
21.0,72.47,11.32
21.1,82.53,12.04
21.2,93.76,12.66
21.3,106.28,13.20
21.4,120.22,13.67
21.5,135.70,14.11
21.6,152.89,14.62
21.7,171.92,15.37
21.8,193.00,16.62
21.9,216.30,18.72
22.0,242.03,22.00
22.1,270.43,26.78
22.2,301.76,33.31
22.3,336.30,41.84
22.4,374.36,52.64
22.5,416.29,66.04
22.6,462.49,82.42
22.7,513.39,102.26
22.8,569.47,126.11
22.9,631.29,154.63
23.0,699.45,188.59
23.1,774.66,228.90
23.2,857.69,276.60
23.3,949.42,332.92
23.4,1050.85,399.26
23.5,1163.10,477.26
23.6,1287.46,568.80
23.7,1425.35,676.05
23.8,1578.43,801.51
23.9,1748.54,948.05
24.0,1937.80,1118.96
24.1,2148.58,1318.05
24.2,2383.59,1549.67
24.3,2645.92,1818.80
24.4,2939.06,2131.20
24.5,3266.97,2493.43
24.6,3634.14,2913.03
24.7,4045.71,3398.68
24.8,4507.48,3960.30
24.9,5026.05,4609.30
