limitingDepth,numDetections,oneSigma
18.5,5.48,1.35
18.6,6.47,1.49
18.7,7.65,1.66
18.8,9.03,1.87
18.9,10.65,2.15
19.0,12.53,2.50
19.1,14.72,2.93
19.2,17.26,3.44
19.3,20.19,4.03
19.4,23.55,4.71
19.5,27.39,5.45
19.6,31.77,6.26
19.7,36.75,7.11
19.8,42.39,7.98
19.9,48.77,8.86
20.0,55.94,9.73
20.1,64.01,10.57
20.2,73.06,11.35
20.3,83.18,12.05
20.4,94.49,12.67
20.5,107.09,13.20
20.6,121.11,13.66
20.7,136.70,14.10
20.8,153.99,14.62
20.9,173.14,15.39
21.0,194.34,16.70
21.1,217.78,18.86
21.2,243.66,22.24
21.3,272.23,27.13
21.4,303.74,33.79
21.5,338.48,42.47
21.6,376.77,53.43
21.7,418.94,67.01
21.8,465.41,83.61
21.9,516.61,103.69
22.0,573.02,127.82
22.1,635.20,156.67
22.2,703.78,191.02
22.3,779.43,231.78
22.4,862.97,280.00
22.5,955.26,336.93
22.6,1057.32,403.97
22.7,1170.28,482.79
22.8,1295.42,575.28
22.9,1434.20,683.63
23.0,1588.28,810.35
23.1,1759.51,958.35
23.2,1950.02,1130.96
23.3,2162.23,1332.01
23.4,2398.85,1565.88
23.5,2662.99,1837.61
23.6,2958.17,2152.99
23.7,3288.39,2518.66
23.8,3658.18,2942.22
23.9,4072.71,3432.41
24.0,4537.82,3999.26
24.1,5060.19,4654.27
24.2,5647.36,5410.63
24.3,6307.95,6283.52
24.4,7051.72,7290.34
24.5,7889.79,8451.09
24.6,8834.81,9788.78
24.7,9901.16,11329.86
24.8,11105.20,13104.74
24.9,12465.57,15148.44
