limitingDepth,numDetections,oneSigma
18.5,3.27,1.79
18.6,3.84,2.00
18.7,4.51,2.22
18.8,5.30,2.47
18.9,6.24,2.72
19.0,7.35,2.99
19.1,8.67,3.28
19.2,10.23,3.57
19.3,12.08,3.88
19.4,14.27,4.21
19.5,16.86,4.56
19.6,19.93,4.97
19.7,23.55,5.45
19.8,27.82,6.05
19.9,32.84,6.81
20.0,38.71,7.78
20.1,45.56,8.99
20.2,53.52,10.48
20.3,62.75,12.27
20.4,73.39,14.37
20.5,85.62,16.75
20.6,99.62,19.40
20.7,115.59,22.27
20.8,133.76,25.32
20.9,154.37,28.49
21.0,177.67,31.70
21.1,203.94,34.88
21.2,233.50,37.96
21.3,266.69,40.87
21.4,303.86,43.52
21.5,345.41,45.86
21.6,391.77,47.87
21.7,443.42,49.58
21.8,500.86,51.14
21.9,564.65,52.85
22.0,635.38,55.32
22.1,713.74,59.48
22.2,800.44,66.55
22.3,896.28,77.87
22.4,1002.13,94.62
22.5,1118.97,117.80
22.6,1247.87,148.32
22.7,1390.00,187.16
22.8,1546.68,235.52
22.9,1719.39,294.81
23.0,1909.75,366.76
23.1,2119.61,453.41
23.2,2351.00,557.18
23.3,2606.23,680.92
23.4,2887.89,827.93
23.5,3198.91,1002.08
23.6,3542.57,1207.85
23.7,3922.58,1450.44
23.8,4343.15,1735.84
23.9,4809.02,2071.00
24.0,5325.58,2463.89
24.1,5898.91,2923.72
24.2,6535.91,3461.08
24.3,7244.41,4088.14
24.4,8033.28,4818.88
24.5,8912.59,5669.35
24.6,9893.75,6658.01
24.7,10989.73,7806.00
24.8,12215.25,9137.61
24.9,13587.02,10680.71
