limitingDepth,numDetections,oneSigma
18.5,35.59,13.74
18.6,41.98,14.99
18.7,49.55,16.30
18.8,58.52,17.67
18.9,69.14,19.16
19.0,81.70,20.82
19.1,96.53,22.77
19.2,114.00,25.13
19.3,134.54,28.10
19.4,158.61,31.88
19.5,186.72,36.64
19.6,219.44,42.56
19.7,257.37,49.73
19.8,301.20,58.21
19.9,351.64,67.96
20.0,409.48,78.92
20.1,475.58,90.93
20.2,550.87,103.83
20.3,636.38,117.36
20.4,733.19,131.26
20.5,842.50,145.22
20.6,965.62,158.91
20.7,1103.97,171.98
20.8,1259.07,184.08
20.9,1432.61,194.93
21.0,1626.40,204.32
21.1,1842.41,212.26
21.2,2082.79,219.14
21.3,2349.89,225.99
21.4,2646.26,234.89
21.5,2974.69,249.34
21.6,3338.23,274.33
21.7,3740.23,315.68
21.8,4184.37,378.97
21.9,4674.70,468.83
22.0,5215.70,589.30
22.1,5812.33,744.48
22.2,6470.09,939.15
22.3,7195.09,1179.09
22.4,7994.16,1471.30
22.5,8874.93,1824.15
22.6,9845.93,2247.55
22.7,10916.75,2753.16
22.8,12098.14,3354.61
22.9,13402.25,4067.81
23.0,14842.72,4911.22
23.1,16434.99,5906.25
23.2,18196.49,7077.68
23.3,20146.92,8454.11
23.4,22308.59,10068.55
23.5,24706.76,11959.03
23.6,27370.06,14169.30
23.7,30330.95,16749.71
23.8,33626.20,19758.08
23.9,37297.59,23260.85
24.0,41392.48,27334.29
24.1,45964.64,32065.96
24.2,51075.12,37556.34
24.3,56793.24,43920.71
24.4,63197.71,51291.38
24.5,70377.96,59820.15
24.6,78435.59,69681.25
24.7,87486.03,81074.68
24.8,97660.48,94230.06
24.9,109108.09,109411.11
