limitingDepth,numDetections,oneSigma
18.5,54.33,17.90
18.6,64.17,19.41
18.7,75.84,21.05
18.8,89.65,22.89
18.9,105.97,25.06
19.0,125.21,27.74
19.1,147.85,31.12
19.2,174.39,35.44
19.3,205.41,40.91
19.4,241.52,47.71
19.5,283.40,55.94
19.6,331.77,65.64
19.7,387.43,76.79
19.8,451.23,89.27
19.9,524.10,102.90
20.0,607.04,117.45
20.1,701.15,132.65
20.2,807.62,148.16
20.3,927.74,163.63
20.4,1062.93,178.71
20.5,1214.72,193.01
20.6,1384.77,206.18
20.7,1574.89,217.94
20.8,1787.05,228.11
20.9,2023.38,236.79
21.0,2286.21,244.49
21.1,2578.05,252.50
21.2,2901.67,263.27
21.3,3260.07,280.77
21.4,3656.56,310.50
21.5,4094.74,358.69
21.6,4578.59,431.23
21.7,5112.48,533.03
21.8,5701.26,668.46
21.9,6350.28,842.05
22.0,7065.50,1059.09
22.1,7853.55,1325.96
22.2,8721.82,1650.39
22.3,9678.57,2041.60
22.4,10733.07,2510.48
22.5,11895.74,3069.86
22.6,13178.28,3734.75
22.7,14593.87,4522.62
22.8,16157.39,5453.78
22.9,17885.64,6551.76
23.0,19797.62,7843.80
23.1,21914.81,9361.32
23.2,24261.55,11140.59
23.3,26865.41,13223.35
23.4,29757.64,15657.66
23.5,32973.68,18498.75
23.6,36553.71,21810.08
23.7,40543.37,25664.54
23.8,44994.40,30145.78
23.9,49965.58,35349.82
24.0,55523.62,41386.82
24.1,61744.31,48383.18
24.2,68713.69,56483.90
24.3,76529.54,65855.38
24.4,85302.93,76688.57
24.5,95160.09,89202.64
24.6,106244.46,103649.20
24.7,118719.15,120317.22
24.8,132769.58,139538.68
24.9,148606.63,161695.09
