# Table 10 Colours of selected L and T dwarfs
# SDSS (iz), WFCAM (ZYJHK) and 2MASS (J2,H2,K2) colours on the Vega system
# An entry with "..." denotes no colour or absolute magnitude available
# Col 1: i-z
# Col 2: Z-z
# Col 3: Z-Y
# Col 4: Y-J
# Col 5: J-H
# Col 6: H-K
# Col 7: J-J2
# Col 8: H-H2
# Col 9: K-K2
# Col 10: Absolute K-band magnitude
# Col 11: Spectral type 
# Col 12: Star name
#
  2.077   0.100   1.069   1.476   0.643   0.549  -0.085   0.041  -0.016  10.5  L1    2MASSJ03454316+2540233
  1.996   0.188   1.322   1.193   0.610   0.527  -0.073   0.045   0.007  10.0  L1    2MASSJ07464256+2000321AB
  2.165   0.232   1.419   1.412   1.092   0.997  -0.096   0.058  -0.020  ...   L3    2MASSJ00283943+1501418
    ...   0.251   1.460   1.289   0.819   0.729  -0.094   0.056  -0.024  ...   L3    SDSSJ111320.16+343057.9
  2.064   0.187   1.385   1.397   0.850   0.718  -0.088   0.055  -0.020  11.3  L3    DENIS-PJ1058.7-1548
  2.137   0.248   1.503   1.366   0.896   0.665  -0.085   0.048  -0.011  11.5  L3    GD165B
  2.138   0.215   1.458   1.472   0.733   0.550  -0.100   0.055  -0.004  11.3  L4    2MASSJ00361617+1821104
    ...   0.168   1.235   1.274   0.899   0.728  -0.102   0.057  -0.017  ...   L4.5  SDSSJ085116.20+181730.0
  2.337   0.254   1.418   1.263   0.857   0.792  -0.093   0.056  -0.015  11.4  L4.5  LHS102B
  2.139   0.231   1.392   1.291   0.902   0.738  -0.096   0.058  -0.017  ...   L4.5  SDSSJ083506.16+195304.4
  2.719   0.214   1.359   1.230   0.821   0.643  -0.096   0.054  -0.013  11.8  L5    SDSSJ053951.99-005902.0
  2.789   0.196   1.443   1.062   0.810   0.636  -0.102   0.056   0.004  11.4  L5.5  DENIS-PJ0205.4-1159AB
    ...   0.317   1.577   1.383   0.963   0.764  -0.101   0.056  -0.017  ...   L5.5  SDSSJ134203.11+134022.2
  2.884   0.181   1.411   1.158   1.186   0.971  -0.105   0.057  -0.029  12.6  L5.5  SDSSJ010752.33+004156.1
  1.472   0.194   1.375   1.195   0.778   0.563  -0.111   0.052  -0.009  ...   L5.5  SDSSJ020608.97+223559.2
  2.949   0.196   1.616   1.182   1.097   0.884  -0.094   0.056  -0.024  12.7  L6    2MASSJ08251968+2115521
    ...   0.230   1.419   1.261   0.730   0.525  -0.107   0.052  -0.011  ...   L6    SDSSJ103321.92+400549.5
    ...   0.188   1.286   1.126   0.738   0.669  -0.105   0.062  -0.011  ...   L6    SDSSJ162255.27+115924.1 
  2.494   0.257   1.615   1.284   0.885   0.695  -0.103   0.057  -0.011  11.1  L6    DENIS-PJ1228.2-1547AB
  1.317   0.298   1.501   1.246   0.756   0.732  -0.086   0.048  -0.028  ...   L6    SDSSJ065405.63+652805.4
    ...   0.390   1.747   1.229   0.834   0.675  -0.107   0.054  -0.013  ...   L6.5  SDSSJ141659.78+500626.4
    ...   0.202   1.280   1.188   0.699   0.484  -0.100   0.053  -0.013  ...   L6.5  SDSSJ142227.25 221557.1
  3.105   0.168   1.461   1.160   1.049   0.822  -0.108   0.056  -0.009  12.9  L7.5  2MASSJ16322911+1904407
    ...   0.173   1.184   1.125   0.594   0.425  -0.113   0.058  -0.021  ...   L7.5  SDSSJ112118.57+433246.5
    ...   0.176   1.406   1.112   0.928   0.667  -0.112   0.057   0.004  12.3  L8    SDSSJ003259.36+141036.6
    ...   0.247   1.631   1.089   0.827   0.618  -0.124   0.060  -0.004  ...   L9    SDSSJ100711.74+193056.2
  3.089   0.198   1.470   1.133   0.870   0.653  -0.107   0.055  -0.013  ...   L9    2MASSJ09083803+5032088
  3.201   0.197   1.542   1.025   0.942   0.688  -0.117   0.060   0.034  ...   L9    2MASSJ03105986+1648155
  1.765   0.354   1.738   1.215   0.587   0.546  -0.112   0.052  -0.008  ...   L9.5  SDSSJ080531.80+481233.0
    ...   0.272   1.664   1.193   0.583   0.698  -0.143   0.050  -0.001  ...   L9.5  SDSSJ151114.66+060742.9
  2.605   0.184   1.513   1.066   0.870   0.730  -0.135   0.062  -0.004  ...   T0    SDSSJ085834.64+325629.1
  3.044   0.220   1.517   1.114   0.799   0.550  -0.125   0.058  -0.003  12.0  T0    SDSSJ042348.57-041403.5
    ...   0.148   1.410   1.066   0.743   0.506  -0.140   0.058   0.001  ...   T0    SDSSJ120747.17+024424.8
  1.527   0.422   2.133   1.148   0.604   0.472  -0.153   0.057   0.023  ...   T1    SDSSJ103931.35+325625.5
  1.903   0.276   1.787   1.097   0.546   0.224  -0.147   0.059   0.045  ...   T1.5  SDSSJ090900.73+652527.2
  3.684   0.310   2.020   1.257   0.567   0.332  -0.179   0.067   0.041  ...   T2    SDSSJ075840.33+324723.4 
  4.712   0.325   1.989   1.021   0.534   0.275  -0.168   0.063   0.054  13.1  T2    SDSSJ125453.90-012247.4
  1.550   0.223   1.835   1.121   0.414   0.258  -0.170   0.053   0.058  ...   T2.5  SDSSJ143945.86+304220.6
    ...   0.280   2.048   1.004   0.255   0.160  -0.151   0.056   0.064  ...   T3    2MASSJ12095613-1004008
    ...   0.313   2.100   1.119   0.287   0.295  -0.193   0.062   0.046  ...   T3    SDSSJ153417.05+161546.1
  3.352   0.296   1.991   1.105   0.443   0.183  -0.187   0.057   0.056  12.8  T3    SDSSJ102109.69-030420.1
    ...   0.390   2.157   1.044   0.234  -0.144  -0.179   0.045   0.076  ...   T3    SDSS120602.51+281328.7
  1.976   0.509   2.608   1.122   0.317   0.062  -0.212   0.070   0.090  ...   T3.5  SDSSJ121440.94+631643.4
    ...   0.487   2.447   1.020   0.050  -0.108  -0.188   0.049   0.107  ...   T4    2MASSJ22541892+3123498
  4.590   0.491   2.526   1.198  -0.090  -0.131  -0.211   0.046   0.119  13.7  T4.5  2MASSJ05591914-1404488
  3.357   0.423   2.372   1.021   0.001  -0.038  -0.203   0.048   0.104  ...   T4.5  SDSSJ092615.38+584720.9
    ...   0.612   2.836   1.091  -0.288  -0.251  -0.222   0.041   0.110  ...   T4.5  SDSSJ135852.68+374711.9
  4.009   0.477   2.614   1.178  -0.321  -0.152  -0.258   0.038   0.131  15.4  T6    SDSSJ162414.37+002915.6
  4.120   0.307   2.397   1.141  -0.382   0.066  -0.262   0.036   0.138  15.1  T6.5  SDSSJ134646.45-003150.4
  4.291   0.567   3.006   1.164  -0.399  -0.023  -0.254   0.016   0.103  15.6  T7    Gl229B
  4.545   0.618   3.083   0.946  -0.474  -0.259  -0.284   0.031   0.155  16.7  T7.5  Gl570D
  4.261   0.582   3.093   1.061  -0.433  -0.152  -0.296   0.034   0.152  17.0  T8    2MASSJ04151954-0935066
